Date,Ticker,Price,DailyRetMult,CloseLog10,DailyRetLogDiff
5/25/2018,BIV,80.92,1.003099045,1.908055874,0.001343817
5/24/2018,BIV,80.67,1.002111801,1.906712057,0.000916177
5/23/2018,BIV,80.5,1.003740648,1.90579588,0.001621512
5/22/2018,BIV,80.2,1.000124704,1.904174368,5.42E-05
5/21/2018,BIV,80.19,1.000499064,1.904120213,0.000216687
5/18/2018,BIV,80.15,1.002501563,1.903903527,0.001085059
5/17/2018,BIV,79.95,0.999874937,1.902818468,-5.43E-05
5/16/2018,BIV,79.96,0.998750937,1.902872785,-0.0005428
5/15/2018,BIV,80.06,0.995152268,1.903415586,-0.002110463
5/14/2018,BIV,80.45,0.998758535,1.905526048,-0.000539496
5/11/2018,BIV,80.55,1.000745434,1.906065545,0.000323617
5/10/2018,BIV,80.49,1.002366127,1.905741927,0.001026382
5/9/2018,BIV,80.3,0.998259572,1.904715545,-0.000756517
5/8/2018,BIV,80.44,0.998634389,1.905472062,-0.000593483
5/7/2018,BIV,80.55,0.999751769,1.906065545,-0.000107819
5/4/2018,BIV,80.57,1.000124131,1.906173364,5.39E-05
5/3/2018,BIV,80.56,1.001367309,1.906119458,0.000593409
5/2/2018,BIV,80.45,1.000746361,1.905526048,0.00032402
5/1/2018,BIV,80.39,0.998125178,1.905202029,-0.000814989
4/30/2018,BIV,80.541,0.999752361,1.906017018,-0.000107561
4/27/2018,BIV,80.56095,1.000991661,1.906124579,0.000430459
4/26/2018,BIV,80.48114,1.002734681,1.905694119,0.001186036
4/25/2018,BIV,80.26165,0.997829461,1.904508084,-0.000943678
4/24/2018,BIV,80.43624,0.999813924,1.905451761,-8.08E-05
4/23/2018,BIV,80.45121,0.99876153,1.90553258,-0.000538194
4/20/2018,BIV,80.55097,0.997405786,1.906070775,-0.001128117
4/19/2018,BIV,80.76048,0.99753545,1.907198892,-0.001071662
4/18/2018,BIV,80.96001,0.996806182,1.908270553,-0.001389277
4/17/2018,BIV,81.21941,1.00073756,1.90965983,0.0003202
4/16/2018,BIV,81.15955,0.999385786,1.90933963,-0.000266832
4/13/2018,BIV,81.20943,1.000245721,1.909606462,0.000106702
4/12/2018,BIV,81.18948,0.997793019,1.90949976,-0.000959539
4/11/2018,BIV,81.36906,1.000367966,1.910459299,0.000159776
4/10/2018,BIV,81.33913,0.998652652,1.910299523,-0.000585541
4/9/2018,BIV,81.44887,1.00073548,1.910885063,0.000319298
4/6/2018,BIV,81.38901,1.00270397,1.910565766,0.001172735
4/5/2018,BIV,81.16953,0.998772476,1.909393031,-0.000533434
4/4/2018,BIV,81.26929,1.000368417,1.909926466,0.000159972
4/3/2018,BIV,81.23936,0.997794371,1.909766493,-0.000958951
4/2/2018,BIV,81.41894,1.000429077,1.910725444,0.000186306
3/29/2018,BIV,81.38402,1.002328963,1.910539138,0.00101028
3/28/2018,BIV,81.19492,0.999632378,1.909528858,-0.000159685
3/27/2018,BIV,81.22478,1.00443076,1.909688544,0.001920004
3/26/2018,BIV,80.86648,0.998893597,1.907768539,-0.000480771
3/23/2018,BIV,80.95605,0.999877109,1.90824931,-5.34E-05
3/22/2018,BIV,80.966,1.002094018,1.908302684,0.00090847
3/21/2018,BIV,80.79681,0.999753764,1.907394214,-0.000106952
3/20/2018,BIV,80.81671,0.998401406,1.907501167,-0.000694816
3/19/2018,BIV,80.94611,0.999140167,1.908195983,-0.000373581
3/16/2018,BIV,81.01577,0.999508856,1.908569564,-0.000213354
3/15/2018,BIV,81.05558,0.999754426,1.908782918,-0.000106664
3/14/2018,BIV,81.07549,1.001352296,1.908889582,0.000586898
3/13/2018,BIV,80.966,1.00049193,1.908302684,0.00021359
3/12/2018,BIV,80.92619,1.001231277,1.908089094,0.000534408
3/9/2018,BIV,80.82667,0.997911128,1.907554687,-0.000908134
3/8/2018,BIV,80.99586,1.001599921,1.908462821,0.000694282
3/7/2018,BIV,80.86648,0.999876973,1.907768539,-5.34E-05
3/6/2018,BIV,80.87643,1.000246239,1.907821973,0.000106927
3/5/2018,BIV,80.85652,0.99963084,1.907715046,-0.000160354
3/2/2018,BIV,80.88638,0.996566503,1.907875399,-0.001493715
3/1/2018,BIV,81.16506,1.002594032,1.909369114,0.001125115
2/28/2018,BIV,80.95506,1.001105413,1.908243999,0.00047981
2/27/2018,BIV,80.86567,0.997671933,1.907764189,-0.001012245
2/26/2018,BIV,81.05437,1.000367666,1.908776435,0.000159646
2/23/2018,BIV,81.02458,1.003814453,1.908616788,0.001653444
2/22/2018,BIV,80.71669,1.000369329,1.906963344,0.000160368
2/21/2018,BIV,80.68689,0.997666663,1.906802976,-0.001014539
2/20/2018,BIV,81.43,0.998406081,1.910784435,-0.000692782
2/16/2018,BIV,81.56,1.002581438,1.911477217,0.00111966
2/15/2018,BIV,81.35,1.001354013,1.910357557,0.000587643
2/14/2018,BIV,81.24,0.995466242,1.909769915,-0.001973463
2/13/2018,BIV,81.61,0.999877481,1.911743378,-5.32E-05
2/12/2018,BIV,81.62,1.000367692,1.91179659,0.000159657
2/9/2018,BIV,81.59,0.997920744,1.911636933,-0.00090395
2/8/2018,BIV,81.76,0.999633207,1.912540883,-0.000159325
2/7/2018,BIV,81.79,0.997804075,1.912700208,-0.000954727
2/6/2018,BIV,81.97,0.997444634,1.913654935,-0.001111202
2/5/2018,BIV,82.18,1.004399902,1.914766137,0.001906662
2/2/2018,BIV,81.82,0.997196831,1.912859475,-0.00121911
2/1/2018,BIV,82.05,0.996320717,1.914078585,-0.001600839
1/31/2018,BIV,82.353,0.999878829,1.915679425,-5.26E-05
1/30/2018,BIV,82.36298,0.998306964,1.915732052,-0.000735899
1/29/2018,BIV,82.50266,0.998792166,1.916467951,-0.000524873
1/26/2018,BIV,82.60243,0.997950758,1.916992824,-0.000890888
