Date,Ticker,Price,DailyRetMult,CloseLog10,DailyRetLogDiff
5/18/2018,VOX,82.52773,xx,,
5/17/2018,VOX,82.53764,xx,,
5/16/2018,VOX,82.63673,xx,,
5/15/2018,VOX,82.34935,xx,,
5/14/2018,VOX,82.86465,xx,,
5/11/2018,VOX,83.34032,xx,,
5/10/2018,VOX,82.67637,xx,,
5/9/2018,VOX,81.25928,xx,,
5/8/2018,VOX,81.71513,xx,,
5/7/2018,VOX,82.73582,xx,,
5/4/2018,VOX,83.04303,xx,,
5/3/2018,VOX,82.33944,xx,,
5/2/2018,VOX,82.9043,xx,,
5/1/2018,VOX,82.86465,xx,,
4/30/2018,VOX,84.0439,xx,,
4/27/2018,VOX,86.66006,xx,,
4/26/2018,VOX,85.81773,xx,,
4/25/2018,VOX,87.41319,xx,,
4/24/2018,VOX,86.62042,xx,,
4/23/2018,VOX,86.35286,xx,,
4/20/2018,VOX,86.21412,xx,,
4/19/2018,VOX,86.56096,xx,,
4/18/2018,VOX,87.09608,xx,,
4/17/2018,VOX,86.98708,xx,,
4/16/2018,VOX,86.25376,xx,,
4/13/2018,VOX,84.91595,xx,,
4/12/2018,VOX,85.28261,xx,,
4/11/2018,VOX,85.62946,xx,,
4/10/2018,VOX,85.77809,xx,,
4/9/2018,VOX,83.34032,xx,,
4/6/2018,VOX,83.21149,xx,,
4/5/2018,VOX,84.12318,xx,,
4/4/2018,VOX,83.16194,xx,,
4/3/2018,VOX,81.80432,xx,,
4/2/2018,VOX,81.21965,xx,,
3/29/2018,VOX,82.9142,xx,,
3/28/2018,VOX,82.99348,xx,,
3/27/2018,VOX,82.18089,xx,,
3/26/2018,VOX,82.65656,xx,,
3/23/2018,VOX,81.9827,xx,,
3/22/2018,VOX,83.45924,xx,,
3/21/2018,VOX,84.66821,xx,,
3/20/2018,VOX,85.01505,xx,,
3/19/2018,VOX,85.86729,xx,,
3/16/2018,VOX,86.94743,xx,,
3/15/2018,VOX,85.83755,xx,,
3/14/2018,VOX,86.31879,xx,,
3/13/2018,VOX,86.82951,xx,,
3/12/2018,VOX,87.4777,xx,,
3/9/2018,VOX,87.92948,xx,,
3/8/2018,VOX,87.85091,xx,,
3/7/2018,VOX,87.60538,xx,,
3/6/2018,VOX,87.01611,xx,,
3/5/2018,VOX,86.77057,xx,,
3/2/2018,VOX,85.76881,xx,,
3/1/2018,VOX,85.26792,xx,,
2/28/2018,VOX,85.36613,xx,,
2/27/2018,VOX,86.23041,xx,,
8/27/2018,VDE,103.98,xx,,
8/24/2018,VDE,103.28,xx,,
8/23/2018,VDE,102.53,xx,,
8/22/2018,VDE,102.99,xx,,
8/21/2018,VDE,101.66,xx,,
8/20/2018,VDE,101.02,xx,,
8/17/2018,VDE,100.23,xx,,
8/16/2018,VDE,99.91,xx,,
8/15/2018,VDE,99.14,xx,,
8/14/2018,VDE,102.88,xx,,
8/13/2018,VDE,102.55,xx,,
8/10/2018,VDE,104.01,xx,,
8/9/2018,VDE,103.43,xx,,
8/8/2018,VDE,104.31,xx,,
8/7/2018,VDE,105.12,xx,,
8/6/2018,VDE,104.49,xx,,
8/3/2018,VDE,104.04,xx,,
8/2/2018,VDE,104.52,xx,,
8/1/2018,VDE,104.95,xx,,
7/31/2018,VDE,106.22,xx,,
7/30/2018,VDE,106.52,xx,,
7/27/2018,VDE,105.47,xx,,
7/26/2018,VDE,106.16,xx,,
7/25/2018,VDE,105.23,xx,,
7/24/2018,VDE,104.23,xx,,
7/23/2018,VDE,103.08,xx,,
7/20/2018,VDE,103.45,xx,,
7/19/2018,VDE,103.93,xx,,
7/18/2018,VDE,103.88,xx,,
